library,catalogue,legacy_codelist_id,legacy_codelist_name,new_codelist_name,template_parameter,submission_value,preferred_term,definition,extensible,synonyms,href
Sponsor,SDTM CT,ZATEST,Event Adjudication Test Name,Event Adjudication Test Name,,ZATEST,Event Adjudication Test Name,Controlled Terminology for event adjudication test name,Y,,
Sponsor,SDTM CT,ZATESTCD,Event Adjudication Test Code,Event Adjudication Test Code,,ZATESTCD,Event Adjudication Test Code,Controlled Terminology for event adjudication test code,Y,,
Sponsor,SDTM CT,PCTEST,Pharmacokinetic Test Name,Pharmacokinetic Test Name,,PCTEST,Pharmacokinetic Test Name,Controlled Terminology for Pharmacokinetic Test Name,Y,,
Sponsor,SDTM CT,PCTESTCD,Pharmacokinetic Test Code,Pharmacokinetic Test Code,,PCTESTCD,Pharmacokinetic Test Code,Controlled Terminology for Pharmacokinetic Test Code,Y,,
Sponsor,SDTM CT,RPCAT,Category for Reproductive System Finding,Category for Reproductive System Finding,,RPCAT,Category for Reproductive System Finding,Controlled Terminology for Category for Reproductive System Finding,Y,,
Sponsor,SDTM CT,EGCAT,Category for ECG Test Results,Category for ECG Test Results,,EGCAT,Category for ECG Test Results,Controlled Terminology for Category for ECG Test Results,Y,,
Sponsor,SDTM CT,OECAT,Category for Ophthalmic Test or Exam,Category for Ophthalmic Test or Exam,,OECAT,Category for Ophthalmic Test or Exam,Controlled Terminology for Category for Ophthalmic Test or Exam,Y,,
Sponsor,SDTM CT,HEP_CQ,Response list for hepatic event topic codes,Response list for hepatic event topic codes,,HEP_CQ,Response list for hepatic event topic codes,Response list for hepatic event topic codes,Y,,
Sponsor,SDTM CT,ECTRT,Name of Treatment - EC,Name of Treatment - EC,,ECTRT,Name of Treatment - EC,Controlled Terminology for Name of Treatment - EC,Y,,
Sponsor,SDTM CT,EXTRT,Name of Treatment - EX,Name of Treatment - EX,,EXTRT,Name of Treatment - EX,Controlled Terminology for Name of Treatment - EX,Y,,
Sponsor,SDTM CT,AGCAT,Category for Procedure Agents,Category for Procedure Agents,,AGCAT,Category for Procedure Agents,Controlled Terminology for Category for Procedure Agents,Y,,
Sponsor,SDTM CT,CMCAT,Category for Concomitant Medications,Category for Concomitant Medications,,CMCAT,Category for Concomitant Medications,Controlled Terminology for Category for Concomitant Medications,Y,,
Sponsor,SDTM CT,ECCAT,Category for Exposure as Collected,Category for Exposure as Collected,,ECCAT,Category for Exposure as Collected,Controlled Terminology for Category for Exposure as Collected,Y,,
Sponsor,SDTM CT,EXCAT,Category for Exposure,Category for Exposure,,EXCAT,Category for Exposure,Controlled Terminology for Category for Exposure,Y,,
Sponsor,SDTM CT,SUCAT,Category for Substance Use,Category for Substance Use,,SUCAT,Category for Substance Use,Controlled Terminology for Category for Substance Use,Y,,
Sponsor,SDTM CT,VSCAT,Category for Vital Signs,Category for Vital Signs,,VSCAT,Category for Vital Signs,Controlled Terminology for Category for Vital Signs,Y,,
Sponsor,SDTM CT,,,Data Supplier Type,N,DATA_SUPPLIER_TYPE,Data Supplier Type,Categorisation of data suppliers into different type of systems or other types of data suppliers,Y,,
